0.001 1.05413210106e-11
0.006 3.28391010024e-12
0.041 4.76361040266e-12
0.136 8.39739879843e-12
0.321 2.10777788608e-11
0.626 6.22793537261e-11
1.081 5.60477870732e-11
1.716 7.52280692667e-10
2.561 3.31405178615e-10
3.646 1.82236019283e-10
5.001 1.82641028421e-10
6.656 4.2521769621e-10
8.641 5.593079405e-10
10.986 1.47395100467e-09
13.721 8.38626099456e-10
16.876 7.11540885123e-10
20.481 5.57175493848e-09
24.566 5.39260837778e-09
29.161 4.11439594122e-09
34.296 2.54855746714e-09
40.001 1.42779602961e-10
46.306 4.22533085043e-09
53.241 1.93892186587e-09
60.836 3.38403207049e-10
69.121 3.68046524413e-10
78.126 3.12577230486e-09
87.881 5.01186442453e-09
98.416 1.55787709438e-08
109.761 7.03944429266e-09
121.946 6.68581419443e-10
135.001 2.99591918277e-10
148.956 5.11877846074e-09
163.841 2.52519251212e-08
179.686 8.28170473489e-09
196.521 6.1451289396e-08
214.376 5.17742329365e-08
233.281 3.86159726807e-08
253.266 5.77483711071e-09
274.361 4.10086283736e-08
296.596 3.77813232837e-08
320.001 1.06248818929e-08
344.606 4.09963475208e-08
370.441 3.21504060014e-08
397.536 1.21280680078e-08
425.921 8.08500589665e-09
455.626 4.34775036188e-08
486.681 2.0952829369e-08
519.116 7.24039904247e-09
552.961 2.48160629738e-08
588.246 1.5640415253e-08
